Job Title,Candidate Name,Email,Match Score,Explanation
Software Engineer,C1061.pdf,alyssachavez88@gmail.com,75,Score based on job-resume relevance.
Data Scientist,C1061.pdf,alyssachavez88@gmail.com,75,Score based on job-resume relevance.
Product Manager,C1061.pdf,alyssachavez88@gmail.com,42,Score based on job-resume relevance.
Cloud Engineer,C1061.pdf,alyssachavez88@gmail.com,50,Score based on job-resume relevance.
Cybersecurity Analyst,C1061.pdf,alyssachavez88@gmail.com,70,Score based on job-resume relevance.
Machine Learning Engineer,C1061.pdf,alyssachavez88@gmail.com,75,Score based on job-resume relevance.
DevOps Engineer,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Full Stack Developer,C1061.pdf,alyssachavez88@gmail.com,90,Score based on job-resume relevance.
Big Data Engineer,C1061.pdf,alyssachavez88@gmail.com,60,Score based on job-resume relevance.
AI Researcher,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Database Administrator,C1061.pdf,alyssachavez88@gmail.com,90,Score based on job-resume relevance.
Network Engineer,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Software Architect,C1061.pdf,alyssachavez88@gmail.com,75,Score based on job-resume relevance.
Blockchain Developer,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
IT Project Manager,C1061.pdf,alyssachavez88@gmail.com,80,Score based on job-resume relevance.
Business Intelligence Analyst,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Robotics Engineer,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Embedded Systems Engineer,C1061.pdf,alyssachavez88@gmail.com,100,Score based on job-resume relevance.
Quality Assurance Engineer,C1061.pdf,alyssachavez88@gmail.com,60,Score based on job-resume relevance.
UX/UI Designer,C1061.pdf,alyssachavez88@gmail.com,0,Score based on job-resume relevance.
Software Engineer,C1070.pdf,scottsaunders13@gmail.com,99,Score based on job-resume relevance.
